origintime,publicid,eventtype,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty,geometry
2022-05-17 18:06:51.016000+00:00,2022p369607,earthquake,2022-05-17T18:12:33.627Z,176.0264587,-38.81321716,1.70403099,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,12,10,6,0.15662947,97.74719238,0.34944416,0.0,POINT (1862780.430731262 5699598.2833754625)
2022-05-17 19:26:08.028000+00:00,2022p369756,earthquake,2022-05-17T21:44:24.376Z,176.0148163,-38.81463242,1.64911245,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,13,10,3,0.15508336,110.4165649,0.46761639,0.0,POINT (1861764.1600323615 5699474.630045155)
2022-05-17 19:27:57.555000+00:00,2022p369759,earthquake,2022-05-17T19:42:01.947Z,176.0240173,-38.83499908,2.27014756,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,34,25,25,0.15229337,47.87168884,0.326331,0.2553706,POINT (1862488.3293141786 5697187.490017619)
2022-05-18 00:13:43.985000+00:00,2022p370295,earthquake,2022-05-18T00:23:45.034Z,175.9814758,-38.8519249,1.17824739,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,14,3,0.09466754,92.85305023,0.46386823,0.0809731,POINT (1858733.579705641 5695430.207584186)
2022-05-19 16:26:33.039000+00:00,2022p374824,earthquake,2022-05-19T16:29:43.469Z,175.8621216,-38.75458145,1.61154203,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,13,12,5,0.11118703,74.57092285,0.25349091,0.14488154,POINT (1848712.5992868755 5706566.755915937)
2022-05-20 08:48:51.136000+00:00,2022p376668,earthquake,2022-05-20T08:57:01.024Z,176.0482788,-38.79037094,2.07640337,7.51045609,MLv,,LOCSAT,confirmed,manual,iasp91,22,15,8,0.10497119,62.98805237,0.27626793,0.21710697,POINT (1864760.0293767352 5702071.219853774)
2022-05-20 14:55:12.357000+00:00,2022p377355,earthquake,2022-05-20T15:20:20.385Z,175.9185333,-38.8264389,2.38000364,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,27,24,22,0.14996821,39.566185,0.36787107,0.0,POINT (1853360.8293879577 5698435.738823267)
2022-05-21 00:47:14.757000+00:00,2022p378467,earthquake,2022-05-21T01:17:24.646Z,175.8283386,-38.78367996,2.01111926,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,20,15,9,0.10610528,76.80441284,0.31551957,0.14230685,POINT (1845676.4830531115 5703428.283273925)
2022-05-21 17:54:46.650000+00:00,2022p380395,earthquake,2022-05-21T18:05:30.080Z,175.99646,-38.79404449,2.21074966,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,29,24,12,0.12105153,54.82270813,0.35641769,0.0,POINT (1860245.007186993 5701812.3591879625)
2022-05-21 21:15:55.408000+00:00,2022p380773,earthquake,2022-06-06T22:35:26.534Z,176.0066376,-38.85687256,2.86894109,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,31,24,49,0.07480797,36.25523376,0.48006732,0.18045169,POINT (1860899.4623305881 5694809.353481278)
2022-05-21 21:22:55.975000+00:00,2022p380786,earthquake,2022-06-06T22:31:55.087Z,176.0020294,-38.86461639,3.26695706,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,36,29,60,0.07499928,36.39157104,0.49478314,0.17069187,POINT (1860471.2254872017 5693962.949111073)
2022-05-22 11:55:48.761000+00:00,2022p382424,earthquake,2022-05-22T12:10:15.242Z,175.9698792,-38.86898422,1.40744418,4.56702375,MLv,,LOCSAT,confirmed,manual,iasp91,20,12,6,0.09784616,133.5170593,0.41025827,0.26592176,POINT (1857665.389288442 5693569.438812076)
2022-05-23 10:47:34.299000+00:00,2022p384998,earthquake,2022-05-23T10:56:46.921Z,176.0531464,-38.81336594,1.75500263,10.28153706,MLv,,LOCSAT,confirmed,manual,iasp91,23,18,8,0.08306159,63.63616943,0.35299019,0.24297281,POINT (1865097.5819488508 5699504.623343792)
2022-05-24 17:48:54.534000+00:00,2022p388492,earthquake,2022-06-07T02:37:13.502Z,176.0189362,-38.79064941,1.93163961,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,27,21,12,0.11087099,44.80966187,0.26880436,0.35044393,POINT (1862209.9255107641 5702124.941042589)
2022-05-25 15:14:44.823000+00:00,2022p390905,earthquake,2022-05-25T17:49:15.425Z,175.9649048,-38.86813354,1.58642611,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,16,10,0.10182101,86.23213196,0.54917049,0.18487864,POINT (1857236.7990649864 5693677.906595828)
2022-05-26 12:29:43.119000+00:00,2022p393298,earthquake,2022-05-26T12:33:59.704Z,175.9646912,-38.78018951,1.84006135,5.90982008,M,,LOCSAT,confirmed,manual,iasp91,30,24,9,0.11420544,69.56690979,0.22218084,0.0,POINT (1857535.2178517717 5703440.278037801)
2022-05-26 16:11:02.247000+00:00,2022p393714,earthquake,2022-05-26T16:13:35.197Z,176.0357819,-38.81524658,2.56176365,7.5891819,M,,LOCSAT,confirmed,manual,iasp91,22,18,33,0.0872988,68.51075745,0.13850196,0.0,POINT (1863582.6178147527 5699346.1422175905)
2022-05-27 00:25:15.347000+00:00,2022p394641,earthquake,2022-05-27T00:41:05.583Z,176.0214844,-38.80675125,2.34461954,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,31,29,27,0.1003959,53.77122498,0.35188378,0.0,POINT (1862372.180744099 5700330.308744311)
2022-05-27 06:30:38.935000+00:00,2022p395327,earthquake,2022-05-27T06:33:10.347Z,175.9501953,-38.82920456,1.50841718,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,11,1,0.16310854,86.97615051,0.44855312,0.0,POINT (1856100.041249371 5698040.400784046)
2022-05-27 12:41:20.970000+00:00,2022p396023,earthquake,2022-05-27T12:44:46.218Z,175.948349,-38.84887695,1.39552702,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,11,1,0.13867338,185.1207733,0.16093087,0.0,POINT (1855869.2060942396 5695861.950751606)
2022-05-27 20:17:31.415000+00:00,2022p396879,earthquake,2022-05-27T20:29:27.684Z,175.9908295,-38.80746841,1.26253937,6.75718212,MLv,,LOCSAT,confirmed,manual,iasp91,20,14,5,0.11477152,203.7393951,0.44810298,0.13497935,POINT (1859707.1141863633 5700338.32940431)
2022-05-27 20:27:02.106000+00:00,2022p396897,earthquake,2022-05-27T20:32:27.737Z,175.9827423,-38.79454803,1.81794445,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,20,18,15,0.12855037,57.48513794,0.19980428,0.0,POINT (1859051.5551916654 5701795.4574476285)
2022-05-27 21:04:28.998000+00:00,2022p396967,earthquake,2022-05-27T21:10:43.865Z,176.0038147,-38.77488708,1.65701135,5.0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,17,13,0.11465274,90.47821045,0.29225186,0.0,POINT (1860953.7925736206 5703917.8546798965)
2022-05-27 21:17:11.634000+00:00,2022p396991,earthquake,2022-06-12T21:14:55.172Z,175.9645386,-38.77728271,2.68593011,5.0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,32,25,56,0.11130057,37.16967773,0.33278914,0.16572045,POINT (1857532.4246255816 5703763.3604487525)
2022-05-27 21:54:39.353000+00:00,2022p397062,earthquake,2022-05-27T22:05:37.590Z,175.8626709,-38.87916183,1.97267793,5.44304752,MLv,,LOCSAT,confirmed,manual,iasp91,30,21,18,0.09790239,88.72395325,0.25847188,0.15122543,POINT (1848326.9020233545 5692737.147998636)
